group_site_sp.code;pheno_study.num_transect_run;pheno_tree.num_pheno_tree;yl_index;ml_index;fl_index;urf_index;rf_index;fruit_ground_quantity;yl_nb_estimation;ml_nb_estimation;fl_nb_estimation;urf_nb_estimation;rf_nb_estimation;id_vocabulary_fruit_ground_maturity;comment
SBL;PP55;BOS-P03;;;;;;;;;;;;;
SBL;PP55;COA-P01;;;;;;;;;;;;;
SBL;PP55;FEX-P03;;;;;;;;;;;;;
SBL;PP55;PAF-P01;;;;;;;;;;;;;
SBL;PP55;FST-P01;;;;;;;;;;;;;
SBL;NP55;DPT-N01;;;;;;;;;;;;;
SBL;NP55;DEG-N01;;;;;;;;;;;;;
SBL;NP55;PAN-N01;;;;;;;;;;;;;
SBL;NP55;APH-N01;;;;;;;;;;;;;
SBL;NP55;CAF-N01;;;;;;;;;;;;;
SBL;NP55;CNP-N01;;;;;;;;;;;;;
SBL;NP55;TEC-N01;;;;;;;;;;;;;
SBL;NP55;APH-N02;;;;;;;;;;;;;
SBL;NP55;CRP-N01;;;;;;;;;;;;;
SBL;NP55;OLW-N01;;;;;;;;;;;;;
SBL;NP55;MYR-N01;;;;;;;;;;;;;
SBL;NP55;CAF-N02;;;;;;;;;;;;;
SBL;NP55;CHR-N01;;;;;;;;;;;;;
SBL;NP55;OLW-N02;;;;;;;;;;;;;
SBL;NP55;ALB-N01;;;;;;;;;;;;;
SBL;NP55;TEC-N02;;;;;;;;;;;;;
SBL;NP55;CHT-N01;;;;;;;;;;;;;
SBL;NP55;PAN-N02;;;;;;;;;;;;;
SBL;NP55;APH-N03;;;;;;;;;;;;;
SBL;NP55;EUA-N01;;;;;;;;;;;;;
SBL;NP55;CNP-N02;;;;;;;;;;;;;
SBL;NP55;CAF-N03;;;;;;;;;;;;;
SBL;NP55;PAR-N01;;;;;;;;;;;;;
SBL;NP55;CAF-N04;;;;;;;;;;;;;
SBL;NP55;CHR-N02;;;;;;;;;;;;;
SBL;NP55;MMS-N01;;;;;;;;;;;;;
SBL;NP55;MMS-N02;;;;;;;;;;;;;
SBL;NP55;MMS-N03;;;;;;;;;;;;;
SBL;NP55;CRP-N02;;;;;;;;;;;;;
SBL;NP55;CNP-N03;;;;;;;;;;;;;
SBL;NP55;FEX-N01;;;;;;;;;;;;;
SBL;NP55;MMS-N04;;;;;;;;;;;;;
SBL;NP55;PAR-N02;;;;;;;;;;;;;
SBL;NP55;MYR-N02;;;;;;;;;;;;;
SBL;NP55;CRP-N03;;;;;;;;;;;;;
SBL;NP55;BOS-N01;;;;;;;;;;;;;
SBL;NP55;COA-N01;;;;;;;;;;;;;
SBL;NP55;FTH-N01;;;;;;;;;;;;;
SBL;NP55;FDA-N01;;;;;;;;;;;;;
SBL;NP55;MYR-N03;;;;;;;;;;;;;
SBL;NP55;MMS-N05;;;;;;;;;;;;;
SBL;NP55;CYB-N01;;;;;;;;;;;;;
SBL;NP55;COA-N02;;;;;;;;;;;;;
SBL;LP55;FBR-L01;;;;;;;;;;;;;
SBL;LP55;CDU-L01;;;;;;;;;;;;;
SBL;LP55;CDU-L02;;;;;;;;;;;;;
SBL;LP55;LNC-L01;;;;;;;;;;;;;
SBL;LP55;TEC-L01;;;;;;;;;;;;;
SBL;LP55;CNP-L01;;;;;;;;;;;;;
SBL;LP55;OLW-L01;;;;;;;;;;;;;
SBL;LP55;CDU-L03;;;;;;;;;;;;;
SBL;LP55;CAF-L01;;;;;;;;;;;;;
SBL;LP55;UVA-L01;;;;;;;;;;;;;
SBL;LP55;UVA-L02;;;;;;;;;;;;;
SBL;LP55;CHR-L01;;;;;;;;;;;;;
SBL;LP55;CNP-L02;;;;;;;;;;;;;
SBL;LP55;CAF-L02;;;;;;;;;;;;;
SBL;LP55;EUA-L01;;;;;;;;;;;;;
SBL;LP55;FUR-L01;;;;;;;;;;;;;
SBL;LP55;APH-L01;;;;;;;;;;;;;
SBL;LP55;CDU-L04;;;;;;;;;;;;;
SBL;LP55;FBR-L02;;;;;;;;;;;;;
SBL;LP55;LNC-L02;;;;;;;;;;;;;
SBL;LP55;FTH-L01;;;;;;;;;;;;;
SBL;LP55;FBR-L03;;;;;;;;;;;;;
SBL;LP55;FTH-L02;;;;;;;;;;;;;
SBL;LP55;OLW-L02;;;;;;;;;;;;;
SBL;LP55;COA-L01;;;;;;;;;;;;;
SBL;LP55;LNC-L03;;;;;;;;;;;;;
SBL;LP55;COA-L02;;;;;;;;;;;;;
SBL;LP55;COA-L03;;;;;;;;;;;;;
SBL;LP55;LNC-L04;;;;;;;;;;;;;
SBL;TP55;PAN-T01;;;;;;;;;;;;;
SBL;TP55;URH-T01;;;;;;;;;;;;;
SBL;TP55;PAR-T01;;;;;;;;;;;;;
SBL;TP55;FBR-T01;;;;;;;;;;;;;
SBL;TP55;MYR-T01;;;;;;;;;;;;;
SBL;TP55;CNP-T01;;;;;;;;;;;;;
SBL;TP55;FTH-T01;;;;;;;;;;;;;
SBL;TP55;CNP-T02;;;;;;;;;;;;;
SBL;TP55;CRP-T01;;;;;;;;;;;;;
SBL;TP55;ANI-T01;;;;;;;;;;;;;
SBL;TP55;CNP-T03;;;;;;;;;;;;;
SBL;TP55;FDA-T01;;;;;;;;;;;;;
SBL;TP55;MMS-T01;;;;;;;;;;;;;
SBL;TP55;FDA-T02;;;;;;;;;;;;;
SBL;TP55;LNC-T01;;;;;;;;;;;;;
SBL;TP55;MMS-T02;;;;;;;;;;;;;
SBL;TP55;LNC-T02;;;;;;;;;;;;;
SBL;TP55;TEC-T01;;;;;;;;;;;;;
SBL;TP55;PAR-T02;;;;;;;;;;;;;
SBL;TP55;COA-T01;;;;;;;;;;;;;
SBL;TP55;LNC-T03;;;;;;;;;;;;;
SBL;TP55;PAF-T01;;;;;;;;;;;;;
SBL;TP55;COA-T02;;;;;;;;;;;;;
SBL;TP55;OLW-T01;;;;;;;;;;;;;
SBL;TP55;FNA-T01;;;;;;;;;;;;;
SBL;TP55;CHT-T01;;;;;;;;;;;;;
SBL;TP55;EUA-T01;;;;;;;;;;;;;
SBL;TP55;MYR-T02;;;;;;;;;;;;;
SBL;TP55;EUA-T02;;;;;;;;;;;;;
SBL;TP55;COA-T03;;;;;;;;;;;;;
SBL;TP55;MMS-T03;;;;;;;;;;;;;
SBL;TP55;LNC-T04;;;;;;;;;;;;;
SBL;TP55;COA-T04;;;;;;;;;;;;;
SBL;TP55;TEC-T02;;;;;;;;;;;;;
SBL;TP55;MMS-T04;;;;;;;;;;;;;
SBL;SP55;MYR-S01;;;;;;;;;;;;;
SBL;SP55;MYR-S02;;;;;;;;;;;;;
SBL;SP55;CNP-S01;;;;;;;;;;;;;
SBL;SP55;MYR-S03;;;;;;;;;;;;;
SBL;SP55;FEX-S01;;;;;;;;;;;;;
SBL;SP55;COA-S01;;;;;;;;;;;;;
SBL;SP55;FEX-S02;;;;;;;;;;;;;
SBL;SP55;DEG-S01;;;;;;;;;;;;;
SBL;SP55;EUA-S01;;;;;;;;;;;;;
SBL;SP55;FBR-S01;;;;;;;;;;;;;
SBL;SP55;FST-S01-;;;;;;;;;;;;;
SBL;SP55;COA-S02;;;;;;;;;;;;;
SBL;SP55;COA-S03;;;;;;;;;;;;;
SBL;SP55;PAF-S01;;;;;;;;;;;;;
SBL;SP55;UVA-S01;;;;;;;;;;;;;
SBL;SP55;COA-S04;;;;;;;;;;;;;
SBL;SP55;CDU-S01;;;;;;;;;;;;;
SBL;SP55;PHY-S01;;;;;;;;;;;;;
SBL;SP55;EHR-S01;;;;;;;;;;;;;
SBL;SP55;APH-S01;;;;;;;;;;;;;
SBL;SP55;DEG-S01--;;;;;;;;;;;;;
SBL;SP55;CDU-S02;;;;;;;;;;;;;
SBL;SP55;FEX-S03;;;;;;;;;;;;;
SBL;SP55;COA-S05;;;;;;;;;;;;;
SBL;SP55;CDU-S03;;;;;;;;;;;;;
SBL;SP55;DEG-S02;;;;;;;;;;;;;
SBL;SP55;MMS-S01;;;;;;;;;;;;;
SBL;SP55;FCP-S01;;;;;;;;;;;;;
SBL;SP55;CHR-S01;;;;;;;;;;;;;
SBL;SP55;FBR-S02;;;;;;;;;;;;;
SBL;SP55;FNA-S01;;;;;;;;;;;;;
SBL;EP55;FBR-E01;;;;;;;;;;;;;
SBL;EP55;CNP-E01;;;;;;;;;;;;;
SBL;EP55;DEG-E01;;;;;;;;;;;;;
SBL;EP55;CNP-E02;;;;;;;;;;;;;
SBL;EP55;PAR-E01;;;;;;;;;;;;;
SBL;EP55;CNP-E03;;;;;;;;;;;;;
SBL;EP55;EUA-E01;;;;;;;;;;;;;
SBL;EP55;FBR-E02;;;;;;;;;;;;;
SBL;EP55;FTH-E01;;;;;;;;;;;;;
SBL;EP55;PSY-E01;;;;;;;;;;;;;
SBL;EP55;MYR-E01;;;;;;;;;;;;;
SBL;EP55;MYR-E02;;;;;;;;;;;;;
SBL;EP55;CDU-E01;;;;;;;;;;;;;
SBL;EP55;COA-E01;;;;;;;;;;;;;
SBL;EP55;COA-E02;;;;;;;;;;;;;
SBL;EP55;FBR-E03;;;;;;;;;;;;;
SBL;EP55;CDU-E02;;;;;;;;;;;;;
SBL;EP55;CDU-E03;;;;;;;;;;;;;
SBL;EP55;LNC-E01;;;;;;;;;;;;;
SBL;EP55;CAF-E01;;;;;;;;;;;;;
SBL;EP55;FTH-E02;;;;;;;;;;;;;
SBL;EP55;OLW-E01;;;;;;;;;;;;;
SBL;EP55;LNC-E02;;;;;;;;;;;;;
SBL;EP55;CAF-E02;;;;;;;;;;;;;
SBL;EP55;ANI-E01;;;;;;;;;;;;;
SBL;EP55;CDU-E04;;;;;;;;;;;;;
SBL;EP55;ANI-E02;;;;;;;;;;;;;
SBL;EP55;LNC-E03;;;;;;;;;;;;;
SBL;EP55;UVA-E01;;;;;;;;;;;;;
SBL;EP55;CDU-E05;;;;;;;;;;;;;
SBL;EP55;UVA-E02;;;;;;;;;;;;;
SBL;EP55;CHT-E01;;;;;;;;;;;;;
SBL;EP55;DEG-E02;;;;;;;;;;;;;
SBL;EP55;EUA-E02;;;;;;;;;;;;;
SBL;EP55;UVA-E03;;;;;;;;;;;;;
SBL;WP55;MYR-W01;;;;;;;;;;;;;
SBL;WP55;EUA-W01;;;;;;;;;;;;;
SBL;WP55;FCP-W01;;;;;;;;;;;;;
SBL;WP55;BOS-W01;;;;;;;;;;;;;
SBL;WP55;CNP-W01;;;;;;;;;;;;;
SBL;WP55;CHT-W01;;;;;;;;;;;;;
SBL;WP55;TEC-W01;;;;;;;;;;;;;
SBL;WP55;OLW-W01;;;;;;;;;;;;;
SBL;WP55;CAF-W01;;;;;;;;;;;;;
SBL;WP55;CAF-W02;;;;;;;;;;;;;
SBL;WP55;CNP-W02;;;;;;;;;;;;;
SBL;WP55;PSY-W01;;;;;;;;;;;;;
SBL;WP55;FNA-W01;;;;;;;;;;;;;
SBL;WP55;FCP-W02;;;;;;;;;;;;;
SBL;WP55;FEX-W01;;;;;;;;;;;;;
SBL;WP55;CAF-W03;;;;;;;;;;;;;
SBL;WP55;MMS-W01;;;;;;;;;;;;;
SBL;WP55;BOS-W02;;;;;;;;;;;;;
